# Time-averaged data for fix f1
# TimeStep v_temperature v_energy v_pressure
1000 19988.9 -6.63989e+06 -46147
2000 394.045 -7.1855e+06 -126369
3000 306.872 -7.19678e+06 -120343
4000 303.548 -7.20184e+06 -118491
5000 301.796 -7.20497e+06 -117657
6000 292.631 -7.20766e+06 -116926
7000 305.923 -7.21013e+06 -116285
8000 306.777 -7.21277e+06 -115695
9000 302.334 -7.21479e+06 -115047
10000 296.089 -7.21702e+06 -113996
11000 912.889 -7.2201e+06 -19333.1
12000 1362.15 -7.22945e+06 -916.805
13000 1026.42 -7.24185e+06 -549.061
14000 812.603 -7.24997e+06 -154.699
15000 678.712 -7.25495e+06 -157.669
16000 590.696 -7.25804e+06 -134.637
17000 543.913 -7.26059e+06 -16.5992
18000 502.677 -7.2621e+06 -100.109
19000 488.002 -7.26328e+06 -52.8827
20000 461.234 -7.26426e+06 -121.826
21000 438.738 -7.26489e+06 30.9207
22000 423.568 -7.26556e+06 -0.360064
23000 431.22 -7.26615e+06 18.6568
24000 440.401 -7.26674e+06 8.18603
25000 449.454 -7.26763e+06 -169.832
26000 442.224 -7.26848e+06 10.5627
27000 442.009 -7.26916e+06 118.451
28000 413.223 -7.2699e+06 -26.9919
29000 414.001 -7.27045e+06 -98.7441
30000 409.651 -7.27115e+06 -16.0549
31000 534.706 -7.27023e+06 -56.4375
32000 659.757 -7.26975e+06 -35.828
