# Time-averaged data for fix 5
# TimeStep c_msd[4]
35010 149.367
35020 149.371
35030 149.382
35040 149.385
35050 149.384
35060 149.406
35070 149.437
35080 149.452
35090 149.455
35100 149.49
35110 149.546
35120 149.581
35130 149.604
35140 149.636
35150 149.664
35160 149.66
35170 149.664
35180 149.655
35190 149.648
35200 149.636
35210 149.621
35220 149.617
35230 149.622
35240 149.654
35250 149.67
35260 149.671
35270 149.658
35280 149.628
35290 149.604
35300 149.582
35310 149.552
35320 149.536
35330 149.53
35340 149.533
35350 149.534
35360 149.526
35370 149.526
35380 149.547
35390 149.575
35400 149.597
35410 149.6
35420 149.59
35430 149.591
35440 149.604
35450 149.638
35460 149.642
35470 149.65
35480 149.67
35490 149.695
35500 149.706
35510 149.713
35520 149.715
35530 149.711
35540 149.714
35550 149.744
35560 149.77
35570 149.801
35580 149.831
35590 149.85
35600 149.851
35610 149.843
35620 149.827
35630 149.802
35640 149.784
35650 149.773
35660 149.755
35670 149.716
35680 149.689
35690 149.676
35700 149.683
35710 149.705
35720 149.707
35730 149.698
35740 149.687
35750 149.691
35760 149.71
35770 149.717
35780 149.726
35790 149.731
35800 149.746
35810 149.743
35820 149.729
35830 149.746
35840 149.8
35850 149.841
35860 149.842
35870 149.82
35880 149.818
35890 149.822
35900 149.811
35910 149.817
35920 149.83
35930 149.83
35940 149.815
35950 149.805
35960 149.808
35970 149.81
35980 149.818
35990 149.821
36000 149.827
36010 149.833
36020 149.824
36030 149.802
36040 149.79
36050 149.792
36060 149.799
36070 149.793
36080 149.779
36090 149.77
36100 149.752
36110 149.731
36120 149.729
36130 149.733
36140 149.735
36150 149.735
36160 149.738
36170 149.728
36180 149.72
36190 149.709
36200 149.712
36210 149.731
36220 149.738
36230 149.734
36240 149.729
36250 149.738
36260 149.769
36270 149.8
36280 149.825
36290 149.844
36300 149.847
36310 149.85
36320 149.856
36330 149.865
36340 149.877
36350 149.885
36360 149.886
36370 149.882
36380 149.897
36390 149.93
36400 149.964
36410 149.995
36420 150.034
36430 150.053
36440 150.052
36450 150.049
36460 150.045
36470 150.036
36480 150.037
36490 150.029
36500 150.022
36510 150.005
36520 149.978
36530 149.949
36540 149.928
36550 149.924
36560 149.934
36570 149.96
36580 150
36590 150.04
36600 150.066
36610 150.082
36620 150.112
36630 150.122
36640 150.134
36650 150.146
36660 150.132
36670 150.122
36680 150.118
36690 150.113
36700 150.106
36710 150.099
36720 150.087
36730 150.084
36740 150.093
36750 150.108
36760 150.122
36770 150.127
36780 150.11
36790 150.095
36800 150.091
36810 150.074
36820 150.08
36830 150.085
36840 150.097
36850 150.096
36860 150.092
36870 150.087
36880 150.076
36890 150.069
36900 150.075
36910 150.093
36920 150.107
36930 150.111
36940 150.128
36950 150.141
36960 150.156
36970 150.176
36980 150.187
36990 150.203
37000 150.22
37010 150.235
37020 150.256
37030 150.254
37040 150.244
37050 150.238
37060 150.234
37070 150.241
37080 150.272
37090 150.29
37100 150.312
37110 150.329
37120 150.34
37130 150.357
37140 150.357
37150 150.348
37160 150.337
37170 150.34
37180 150.343
37190 150.345
37200 150.347
37210 150.357
37220 150.37
37230 150.377
37240 150.374
37250 150.383
37260 150.394
37270 150.398
37280 150.383
37290 150.377
37300 150.399
37310 150.413
37320 150.42
37330 150.431
37340 150.464
37350 150.498
37360 150.526
37370 150.526
37380 150.525
37390 150.526
37400 150.523
37410 150.527
37420 150.537
37430 150.56
37440 150.58
37450 150.607
37460 150.637
37470 150.647
37480 150.66
37490 150.669
37500 150.681
37510 150.686
37520 150.684
37530 150.695
37540 150.689
37550 150.669
37560 150.645
37570 150.631
37580 150.618
37590 150.606
37600 150.58
37610 150.568
37620 150.568
37630 150.57
37640 150.562
37650 150.554
37660 150.558
37670 150.55
37680 150.55
37690 150.547
37700 150.539
37710 150.539
37720 150.553
37730 150.571
37740 150.593
37750 150.607
37760 150.614
37770 150.641
37780 150.654
37790 150.642
37800 150.631
37810 150.633
37820 150.646
37830 150.642
37840 150.635
37850 150.653
37860 150.68
37870 150.701
37880 150.707
37890 150.694
37900 150.697
37910 150.695
37920 150.689
37930 150.662
37940 150.637
37950 150.612
37960 150.619
37970 150.644
37980 150.636
37990 150.63
38000 150.648
38010 150.654
38020 150.639
38030 150.635
38040 150.642
38050 150.639
38060 150.65
38070 150.678
38080 150.699
38090 150.715
38100 150.72
38110 150.74
38120 150.77
38130 150.797
38140 150.815
38150 150.846
38160 150.86
38170 150.855
38180 150.861
38190 150.881
38200 150.899
38210 150.905
38220 150.886
38230 150.86
38240 150.855
38250 150.863
38260 150.86
38270 150.853
38280 150.823
38290 150.8
38300 150.775
38310 150.755
38320 150.758
38330 150.771
38340 150.793
38350 150.84
38360 150.874
38370 150.882
38380 150.912
38390 150.935
38400 150.955
38410 150.953
38420 150.93
