# Time-averaged data for fix 4
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
35100 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0.00354419 0.0005
24 1.88 0.0162451 0.003
25 1.96 0.0478279 0.011
26 2.04 0.0800232 0.0255
27 2.12 0.143087 0.0535
28 2.2 0.206424 0.097
29 2.28 0.284977 0.1615
30 2.36 0.369081 0.251
31 2.44 0.570962 0.399
32 2.52 0.913246 0.6515
33 2.6 2.03691 1.251
34 2.68 2.64465 2.078
35 2.76 3.47351 3.23
36 2.84 3.24783 4.3705
37 2.92 2.59686 5.3345
38 3 1.94214 6.0955
39 3.08 1.64523 6.775
40 3.16 1.40198 7.3845
41 3.24 1.38174 8.016
42 3.32 1.04088 8.5155
43 3.4 0.967643 9.0025
44 3.48 1.00427 9.532
45 3.56 0.938805 10.05
46 3.64 0.871991 10.553
47 3.72 0.818292 11.046
48 3.8 0.798518 11.548
49 3.88 0.788816 12.065
50 3.96 0.833434 12.634
51 4.04 0.895747 13.2705
52 4.12 0.821381 13.8775
53 4.2 0.876981 14.551
54 4.28 0.88839 15.2595
55 4.36 0.912275 16.0145
56 4.44 0.948442 16.8285
57 4.52 1.01579 17.732
58 4.6 1.02473 18.676
59 4.68 1.11427 19.7385
60 4.76 1.10197 20.8255
61 4.84 1.12026 21.968
62 4.92 1.16241 23.193
63 5 1.18432 24.482
64 5.08 1.19092 25.82
65 5.16 1.23796 27.255
66 5.24 1.26319 28.765
67 5.32 1.25146 30.307
68 5.4 1.27255 31.9225
69 5.48 1.24408 33.549
70 5.56 1.2286 35.2025
71 5.64 1.23299 36.91
72 5.72 1.14644 38.543
73 5.8 1.11469 40.1755
74 5.88 1.07958 41.8005
75 5.96 1.06567 43.4485
76 6.04 1.0584 45.1295
77 6.12 1.0579 46.8545
78 6.2 1.07738 48.6575
79 6.28 1.06059 50.4785
80 6.36 1.06503 52.354
81 6.44 1.03319 54.2195
82 6.52 1.0034 56.0765
83 6.6 0.997418 57.968
84 6.68 0.989629 59.8905
85 6.76 0.987707 61.8555
86 6.84 1.00598 63.9045
87 6.92 1.01068 66.0115
88 7 1.02286 68.1935
89 7.08 1.03425 70.4505
90 7.16 1.05271 72.8
91 7.24 1.03177 75.1545
92 7.32 1.02991 77.557
93 7.4 1.05328 80.068
94 7.48 1.0514 82.629
95 7.56 1.05016 85.242
96 7.64 1.08239 87.9925
97 7.72 1.10575 90.8615
98 7.8 1.09036 93.7495
99 7.88 1.09163 96.7005
100 7.96 1.11349 99.772
35200 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0.00708839 0.001
24 1.88 0 0.001
25 1.96 0.00896774 0.0025
26 2.04 0.0689855 0.015
27 2.12 0.10987 0.0365
28 2.2 0.182697 0.075
29 2.28 0.265095 0.135
30 2.36 0.400009 0.232
31 2.44 0.532383 0.37
32 2.52 0.830059 0.5995
33 2.6 2.10487 1.219
34 2.68 2.65584 2.0495
35 2.76 3.56095 3.2305
36 2.84 3.32757 4.399
37 2.92 2.55376 5.347
38 3 1.92683 6.102
39 3.08 1.62586 6.7735
40 3.16 1.43993 7.3995
41 3.24 1.31938 8.0025
42 3.32 1.13362 8.5465
43 3.4 0.974597 9.037
44 3.48 0.926512 9.5255
45 3.56 0.913432 10.0295
46 3.64 0.905795 10.552
47 3.72 0.855638 11.0675
48 3.8 0.75557 11.5425
49 3.88 0.803311 12.069
50 3.96 0.906671 12.688
51 4.04 0.818346 13.2695
52 4.12 0.805143 13.8645
53 4.2 0.848334 14.516
54 4.28 0.918484 15.2485
55 4.36 0.917713 16.008
56 4.44 0.932712 16.8085
57 4.52 1.0186 17.7145
58 4.6 1.03016 18.6635
59 4.68 1.08963 19.7025
60 4.76 1.11211 20.7995
61 4.84 1.12369 21.9455
62 4.92 1.13774 23.1445
63 5 1.18156 24.4305
64 5.08 1.17134 25.7465
65 5.16 1.23192 27.1745
66 5.24 1.25776 28.678
67 5.32 1.29529 30.274
68 5.4 1.26192 31.876
69 5.48 1.24332 33.5015
70 5.56 1.26835 35.2085
71 5.64 1.1875 36.853
72 5.72 1.15557 38.499
73 5.8 1.11606 40.1335
74 5.88 1.11778 41.816
75 5.96 1.08895 43.5
76 6.04 1.03133 45.138
